브랜드,fit,성별,product,size,총장,어깨너비,가슴단면,소매길이,비고
유니클로,레귤러핏,남성,크루넥T,XS,64,43.5,47,42,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,S,66,45,50,43,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,M,69,46.5,53,45,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,L,72,48,56,47,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,XL,75,50,60,49,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,XXL,77,52,64,50,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,3XL,77,54,68,51,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,크루넥T,4XL,77.5,56,72,52.5,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),XS,64,49.5,49.5,50,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),S,66,51,52.5,51,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),M,69,52.5,55.5,53,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),L,72,54,58.5,55,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),XL,75,56,62.5,57,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),XXL,77.5,58,66.5,58,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),3XL,77.5,60,70.5,59,소매길이 :등 중심부터 소매까지 길이
유니클로,오버핏,남성,코튼오버사이즈크루넥T(5부),4XL,77.5,62,74.5,60.5,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,XS,64,43.5,49,46,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,S,66,45,52,47,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,M,69,46.5,55,49,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,L,72,48,58,51,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,XL,75,50,62,53,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,XXL,77,52,66,54,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,3XL,77,54,70,55,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,남성,바이컬러T,4XL,77.5,56,74,56.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,XS,63,40,45.5,39,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,S,65,41.5,48.5,40,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,M,68,43,51.5,42,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,L,71,44.5,54.5,44,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,XL,74,46.5,58.5,46,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,XXL,76,48.5,62.5,47,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,3XL,76,50.5,66.5,48,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,SUPIMA COTTON T,4XL,76.5,52.5,70.5,49.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,XS,58,34,38,32.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,S,59.5,35,40.5,33.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,M,61.5,36,43,34.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,L,63.5,37.5,46,35.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,XL,66,39,49,37,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,XXL,68,40,52,38.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,크루넥T,3XL,69.5,41,55,39.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,XS,55.5,35.5,40.5,34,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,S,57,36.5,43,35,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,M,59,37.5,45.5,35.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,L,61,38.5,48,37,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,XL,63.5,40,51,38.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,XXL,63.5,41,54,40,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,여성,SUPIMA COTTON T,3XL,65.5,42,57,41,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,XS,54.5,43.5,46,41,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,S,56,44.5,48.5,42,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,M,58,45.5,51,43,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,L,60,47,54,44.5,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,XL,62,48.5,57,46,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,XXL,62,49.5,60,47,소매길이 :등 중심부터 소매까지 길이
유니클로,릴렉스핏,여성,AIRism코튼T,3XL,64.5,50.5,63,48.5,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,XS,44.5,34,35,28.5,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,S,46,35,37.5,29.5,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,M,48,36,40,30,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,L,50,37.5,43,31.5,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,XL,52.5,39,46,33,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,XXL,52.5,40,49,34.5,소매길이 :등 중심부터 소매까지 길이
유니클로,슬림핏,여성,미니T,3XL,54.5,41,52,35.5,소매길이 :등 중심부터 소매까지 길이
무신사스탠다드,슬림핏,남성,머슬 핏 크루 넥 모달 티셔츠,S,68.5,38.5,46,19,
무신사스탠다드,슬림핏,남성,머슬 핏 크루 넥 모달 티셔츠,M,70.5,40.5,49,20,
무신사스탠다드,슬림핏,남성,머슬 핏 크루 넥 모달 티셔츠,L,72,42,51,21,
무신사스탠다드,슬림핏,남성,머슬 핏 크루 넥 모달 티셔츠,XL,73.5,43.5,54,22,
무신사스탠다드,슬림핏,남성,머슬 핏 크루 넥 모달 티셔츠,2XL,74.5,45,56,22.5,
무신사스탠다드,슬림핏,남성,머슬 핏 크루 넥 모달 티셔츠,3XL,74.5,46.5,59,22.5,
무신사스탠다드,레귤러핏,남성,에센셜 크루 넥 티셔츠,S,67,41,47,21.8,
무신사스탠다드,레귤러핏,남성,에센셜 크루 넥 티셔츠,M,69,43,49.5,22.4,
무신사스탠다드,레귤러핏,남성,에센셜 크루 넥 티셔츠,L,71,45,52,23,
무신사스탠다드,레귤러핏,남성,에센셜 크루 넥 티셔츠,XL,73,47,54.5,23.6,
무신사스탠다드,레귤러핏,남성,에센셜 크루 넥 티셔츠,2XL,75,49,57,24.2,
무신사스탠다드,레귤러핏,남성,에센셜 크루 넥 티셔츠,3XL,76,51,59.5,24.8,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,S,68.5,49.5,53,23,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,M,70.5,51.5,55.5,25,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,L,72,53,58,26,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,XL,73.5,54.5,60.5,27,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,2XL,74.5,56,63,27.5,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,3XL,74.5,57.5,65.5,27.5,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,S,66.5,43,49,22,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,M,68,44.5,51.5,23,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,L,69.5,46,54,24,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,XL,71,47.5,56.5,25,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,2XL,72.5,49,59,26,
무신사스탠다드,릴렉스핏,남성,릴렉스 핏 크루 넥 티셔츠,3XL,74,50.5,61.5,27,
무신사스탠다드,오버핏,남성,오버사이즈 크루 넥 티셔츠,S,68.5,55.5,57.5,21,
무신사스탠다드,오버핏,남성,오버사이즈 크루 넥 티셔츠,M,70.5,57.5,60,22,
무신사스탠다드,오버핏,남성,오버사이즈 크루 넥 티셔츠,L,72,59,62.5,23,
무신사스탠다드,오버핏,남성,오버사이즈 크루 넥 티셔츠,XL,73.5,60.5,65,24,
무신사스탠다드,오버핏,남성,오버사이즈 크루 넥 티셔츠,2XL,74.5,62,67.5,24.5,
무신사스탠다드,오버핏,남성,오버사이즈 크루 넥 티셔츠,3XL,74.5,63.5,70,24.5,
무신사스탠다드,레귤러핏,여성,우먼즈 베이식 크루 넥 티셔츠,XS,60,35.7,43.5,16.8,
무신사스탠다드,레귤러핏,여성,우먼즈 베이식 크루 넥 티셔츠,S,61,37,46,17.5,
무신사스탠다드,레귤러핏,여성,우먼즈 베이식 크루 넥 티셔츠,M,62,38.3,48.5,18.2,
무신사스탠다드,레귤러핏,여성,우먼즈 베이식 크루 넥 티셔츠,L,63,39.6,51,18.9,
무신사스탠다드,레귤러핏,여성,우먼즈 베이식 크루 넥 티셔츠,XL,64,40.9,54,19.6,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 티셔츠,XS,51,34.4,36,11.2,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 티셔츠,S,52.7,36,38.5,12,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 티셔츠,M,54.4,37.6,41,12.8,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 티셔츠,L,56.1,39.2,43.5,13.6,
무신사스탠다드,릴렉스핏,여성,우먼즈 릴렉스 핏 크루 넥 티셔츠,XS,63,46.7,49,20.8,
무신사스탠다드,릴렉스핏,여성,우먼즈 릴렉스 핏 크루 넥 티셔츠,S,64,48,51.5,21.5,
무신사스탠다드,릴렉스핏,여성,우먼즈 릴렉스 핏 크루 넥 티셔츠,M,65,49.3,54,22.2,
무신사스탠다드,릴렉스핏,여성,우먼즈 릴렉스 핏 크루 넥 티셔츠,L,66,50.6,56.5,22.9,
무신사스탠다드,릴렉스핏,여성,우먼즈 릴렉스 핏 크루 넥 티셔츠,XL,67,51.9,59.5,23.6,
나이키,스탠다드핏,남성,드라이 핏 UV 하이버스 반소매 피트니스 탑,S,70,44,48,23,
나이키,스탠다드핏,남성,드라이 핏 UV 하이버스 반소매 피트니스 탑,M,70,46,50,23,
나이키,스탠다드핏,남성,드라이 핏 UV 하이버스 반소매 피트니스 탑,L,71,47,55,24,
나이키,스탠다드핏,남성,드라이 핏 UV 하이버스 반소매 피트니스 탑,XL,73,49,57,24,
나이키,스탠다드핏,남성,드라이 핏 UV 하이버스 반소매 피트니스 탑,2XL,73,51,60,24,
나이키,스탠다드핏,남성,조던 플라이트 에센셜 85 티셔츠,S,71,50,55,25,
나이키,스탠다드핏,남성,조던 플라이트 에센셜 85 티셔츠,M,74,54,57,26,
나이키,스탠다드핏,남성,조던 플라이트 에센셜 85 티셔츠,L,75,55,61,26,
나이키,스탠다드핏,남성,조던 플라이트 에센셜 85 티셔츠,XL,78,58,65,27,
나이키,스탠다드핏,남성,조던 플라이트 에센셜 85 티셔츠,2XL,80,60,72,27,
나이키,스탠다드핏,남성,조던 플라이트 에센셜 85 티셔츠,3XL,83,65,77,27,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,XS,68.5,44.5,54,24.5,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,S,70.5,47,59,25.5,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,M,72,50,62,26,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,L,75,52.5,66,26,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,XL,75,55.5,69,26,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,2XL,78,57.5,73,26,
나이키,오버핏,남성,조던 플라이트 에센셜 오버사이즈 티셔츠,3XL,81,60.5,77.5,26,
나이키,루즈핏,남성,인터 밀란 ACG 축구 티셔츠,S,74,51,53,22,
나이키,루즈핏,남성,인터 밀란 ACG 축구 티셔츠,M,75,53,57,22,
나이키,루즈핏,남성,인터 밀란 ACG 축구 티셔츠,L,76.5,56,61.5,22.5,
나이키,루즈핏,남성,인터 밀란 ACG 축구 티셔츠,XL,78,59,66,23,
나이키,루즈핏,남성,인터 밀란 ACG 축구 티셔츠,2XL,80,62,71,23,
나이키,오버핏,여성,스포츠웨어 오버사이즈 반소매 티셔츠,XS,70,43,53.5,19,
나이키,오버핏,여성,스포츠웨어 오버사이즈 반소매 티셔츠,S,70,44,55,19,
나이키,오버핏,여성,스포츠웨어 오버사이즈 반소매 티셔츠,M,70.5,45,57,19,
나이키,오버핏,여성,스포츠웨어 오버사이즈 반소매 티셔츠,L,70.5,46.5,59,19.5,
나이키,오버핏,여성,스포츠웨어 오버사이즈 반소매 티셔츠,XL,70.5,48.5,61,19.5,
나이키,슬림핏,여성,스포츠웨어 칠 니트 크롭 티셔츠,XS,47.5,31,36.5,12,
나이키,슬림핏,여성,스포츠웨어 칠 니트 크롭 티셔츠,S,49,32.5,38,12.5,
나이키,슬림핏,여성,스포츠웨어 칠 니트 크롭 티셔츠,M,49,33,39.5,12.5,
나이키,슬림핏,여성,스포츠웨어 칠 니트 크롭 티셔츠,L,49,35,43.5,13,
나이키,슬림핏,여성,스포츠웨어 칠 니트 크롭 티셔츠,XL,49.5,36,46,13,
스파오,스탠다드핏,남성,링거 티셔츠,S,64,45.5,46.5,21,
스파오,스탠다드핏,남성,링거 티셔츠,M,66,47,49,22,
스파오,스탠다드핏,남성,링거 티셔츠,L,68,48.5,51.5,23,
스파오,스탠다드핏,남성,링거 티셔츠,XL,70,50,54,24,
스파오,루즈핏,공용,루즈핏 반팔티,XS,67,50.5,50.5,22,
스파오,루즈핏,공용,루즈핏 반팔티,S,69,52,53,23,
스파오,루즈핏,공용,루즈핏 반팔티,M,71,53.5,55.5,24,
스파오,루즈핏,공용,루즈핏 반팔티,L,73,55,58,25,
스파오,루즈핏,공용,루즈핏 반팔티,XL,75,56.5,60.5,26,
스파오,루즈핏,공용,루즈핏 반팔티,2XL,76,58,63,27,
스파오,레귤러핏,공용,[수피마코튼] 레귤러핏 반팔티,S,65,43,49,21,
스파오,레귤러핏,공용,[수피마코튼] 레귤러핏 반팔티,M,67,44.5,51.5,22,
스파오,레귤러핏,공용,[수피마코튼] 레귤러핏 반팔티,L,69,46,54,23,
스파오,레귤러핏,공용,[수피마코튼] 레귤러핏 반팔티,XL,71,47.5,56.5,24,
스파오,레귤러핏,공용,[수피마코튼] 레귤러핏 반팔티,2XL,72,49,59,25,
스파오,레귤러핏,공용,BAYMONT 아플리케 반팔티,S,69,52,53,23,
스파오,레귤러핏,공용,BAYMONT 아플리케 반팔티,M,71,53.5,55.5,24,
스파오,레귤러핏,공용,BAYMONT 아플리케 반팔티,L,73,55,58,25,
스파오,레귤러핏,공용,BAYMONT 아플리케 반팔티,XL,75,56.5,60.5,26,
스파오,레귤러핏,여성,[마이페이브아카이브] 반팔 티셔츠(White),S,64,45.5,49.5,23,
스파오,레귤러핏,여성,[마이페이브아카이브] 반팔 티셔츠(White),M,66,47,52,24,
스파오,레귤러핏,여성,[마이페이브아카이브] 반팔 티셔츠(White),L,68,48.5,54.5,25,
